image_id,image_name,intersection,union,IoU,precision,recall,split
374,frame_0374.png,506256,1979691,0.2557247570454177,0.6441317588501064,0.29779834776081826,discovery
375,frame_0375.png,593273,1857185,0.3194474433080172,0.5263021092075568,0.4483589150626129,discovery
376,frame_0376.png,1132040,1955927,0.5787741567042124,0.6718362201883211,0.8068865188424866,discovery
378,frame_0378.png,457250,1820834,0.25112118952084594,0.6428506154354443,0.2918370512107807,discovery
379,frame_0379.png,467430,1797389,0.26006056563159113,0.6537418514783772,0.3016043236211876,discovery
380,frame_0380.png,579046,1878814,0.3081976182847264,0.48744487217584337,0.455963632898903,discovery
382,frame_0382.png,423275,1816442,0.23302423088653532,0.7319968802259242,0.2547593396209381,discovery
383,frame_0383.png,628047,1772194,0.3543895307172917,0.5460243188682493,0.5024283553182621,discovery
384,frame_0384.png,390847,1795713,0.21765560532223133,0.7925857128662074,0.2308018454841089,discovery
386,frame_0386.png,445210,1868705,0.23824520189114923,0.8064317464687705,0.2526959016165477,discovery
